"uopid","name","wkt","typeCode","tafTap"
"DE00SKW","Katzweiler","POINT(7.700959 49.500073)","70","DE15452"
"DE00DOF","Ottendorf (b Mittweida)","POINT(12.95311 50.934464)","70","DE18203"
"DE00RAT","Altglashütten-Falkau","POINT(8.114156 47.859274)","70","DE10195"
"DE00BWP","Potsdam Park Sanssouci","POINT(13.014566 52.39421)","10","DE18487"
"DE00BRW","Berlin Raoul-Wallenberg-Straße","POINT(13.547631 52.55069)","70","DE10934"
"DE00WLI","Lietzow (Rügen)","POINT(13.509991 54.480965)","10","DE16373"
"DE00TDI","Ditzingen","POINT(9.066833 48.823642)","10","DE12259"
"DE00TNY","Neckarhausen (b Horb)","POINT(8.644829 48.399128)","10","DE17427"
"DE00FAZ","Anzefahr","POINT(8.859624 50.845652)","70","DE10261"
"DE00NEE","Ebelsbach-Eltmann","POINT(10.669013 49.982893)","10","DE12638"
"DE00NWD","Windsfeld-Dittenheim","POINT(10.797558 49.069963)","10","DE21192"
"DE0TMAG","Magstadt","POINT(8.96543 48.736136)","70","DE16667"
"DE00KKD","Köln Deutzerfeld","POINT(6.987957 50.940224)","10","DE15685"
"DE00BHO","Berlin Hohenzollerndamm","POINT(13.300288 52.488708)","70","DE10879"
"DE0SCOC","Cochem (Mosel)","POINT(7.166865 50.153093)","10","DE11968"
"DE000NG","Gräfendorf","POINT(9.736213 50.117846)","10","DE13894"
"DE0RETL","Ettlingen West","POINT(8.387834 48.947043)","10","DE13095"
"DE000FF","Frankfurt (Main) Hbf","POINT(8.662663 50.107211)","10","DE13276"
"DE000KV","Viersen","POINT(6.403708 51.254893)","10","DE20600"
"DE0UACH","Altersbach","POINT(10.544002 50.700765)","70","DE10192"
"DE0UELG","Elgersburg","POINT(10.850024 50.705974)","10","DE12819"
"DE0WATR","Altentreptow","POINT(13.242711 53.69219)","10","DE10189"
"DE000BV","Vetschau","POINT(14.083006 51.789124)","10","DE20592"
"DE00APD","Prisdorf","POINT(9.7605 53.675177)","70","DE18529"
"DE00TSZ","Stuttgart-Zuffenhausen","POINT(9.169707 48.838983)","10","DE20116"
"DE0RMFS","Mannheim-Friedrichsfeld Süd Hp","POINT(8.57223 49.43819)","70","DE16760"
"DE00MMF","Mühldorf (Oberbay)","POINT(12.519745 48.248165)","10","DE17172"
"DE00DZI","Zwönitz","POINT(12.796708 50.630856)","10","DE21560"
"DE0RBLN","Bellheim Am Mühlbuckel","POINT(8.297562 49.192644)","70","DE10756"
"DE00TBL","Blaubeuren","POINT(9.791092 48.403844)","10","DE11334"
"DE0TWIB","Wildberg (Württ)","POINT(8.742963 48.625291)","10","DE21136"
